root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
15:58:17.545082 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 3112:3148, ack 1, win 501, options [nop,nop,TS val 834033524 ecr 2631073900], length 36
15:58:17.545131 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 3148:3368, ack 1, win 501, options [nop,nop,TS val 834033524 ecr 2631073900], length 220
15:58:17.545171 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 3368:3404, ack 1, win 501, options [nop,nop,TS val 834033524 ecr 2631073900], length 36
15:58:17.545231 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 3404:3624, ack 1, win 501, options [nop,nop,TS val 834033524 ecr 2631073900], length 220
15:58:17.545272 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 3624:3660, ack 1, win 501, options [nop,nop,TS val 834033524 ecr 2631073900], length 36
15:58:17.545327 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 3660:3880, ack 1, win 501, options [nop,nop,TS val 834033524 ecr 2631073900], length 220
15:58:17.545357 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 3880:3916, ack 1, win 501, options [nop,nop,TS val 834033524 ecr 2631073900], length 36
15:58:17.545400 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 3916:4144, ack 1, win 501, options [nop,nop,TS val 834033524 ecr 2631073900], length 228
15:58:17.545466 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 4144:4408, ack 1, win 501, options [nop,nop,TS val 834033524 ecr 2631073900], length 264
15:58:17.545507 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 4408:4444, ack 1, win 501, options [nop,nop,TS val 834033524 ecr 2631073900], length 36
15:58:17.545567 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 4444:4664, ack 1, win 501, options [nop,nop,TS val 834033524 ecr 2631073900], length 220
15:58:17.545606 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 4664:4700, ack 1, win 501, options [nop,nop,TS val 834033524 ecr 2631073900], length 36
15:58:17.545660 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 4700:4928, ack 1, win 501, options [nop,nop,TS val 834033524 ecr 2631073900], length 228
15:58:17.545699 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 4928:4964, ack 1, win 501, options [nop,nop,TS val 834033524 ecr 2631073900], length 36
15:58:17.545753 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 4964:5184, ack 1, win 501, options [nop,nop,TS val 834033524 ecr 2631073900], length 220
15:58:17.545792 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 5184:5220, ack 1, win 501, options [nop,nop,TS val 834033525 ecr 2631073900], length 36
15:58:17.545848 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 5220:5448, ack 1, win 501, options [nop,nop,TS val 834033525 ecr 2631073900], length 228
